Year,Mean,Uncertainty
1980-11-01,338.80,0.10
1981-11-01,340.00,0.10
1982-11-01,340.77,0.10
1983-11-01,342.44,0.10
1984-11-01,343.99,0.10
1985-11-01,345.47,0.10
1986-11-01,346.87,0.10
1987-11-01,348.62,0.10
1988-11-01,351.15,0.10
1989-11-01,352.79,0.10
1990-11-01,353.98,0.10
1991-11-01,355.29,0.10
1992-11-01,355.99,0.10
1993-11-01,356.71,0.10
1994-11-01,358.21,0.10
1995-11-01,360.05,0.10
1996-11-01,361.79,0.10
1997-11-01,362.90,0.10
1998-11-01,365.54,0.10
1999-11-01,367.64,0.10
2000-11-01,368.84,0.10
2001-11-01,370.41,0.10
2002-11-01,372.42,0.10
2003-11-01,374.96,0.10
2004-11-01,376.80,0.10
2005-11-01,378.81,0.10
2006-11-01,380.94,0.10
2007-11-01,382.68,0.10
2008-11-01,384.78,0.10
2009-11-01,386.29,0.10
2010-11-01,388.57,0.10
2011-11-01,390.45,0.10
2012-11-01,392.46,0.10
2013-11-01,395.19,0.10
2014-11-01,397.12,0.10
2015-11-01,399.41,0.10
2016-11-01,402.86,0.10
2017-11-01,405.00,0.10
