"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.683133565074","25.7387866260878","24.932109626446","24.6504325669149","24.4056684042387","23.5544754131119","21.9933350920579","21.2258060525145","20.5102447373476","19.7548273048349","18.9713760773133","18.1721118204724","17.3885903857275","16.6099675901917","15.8397431921495","15.0553533325453","14.2655173413029","13.5161391176256","12.8187457148967","12.1583514772742","11.5139175444148","10.9738696033873","10.4690409203388","10.0152517055992","9.58358919978346","9.22581947453553","8.88493632240916","8.59444125782545","8.31157709186476","8.06141658761582","",
"Afghanistan","AFG","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6","10.7","9.8","9.1","8.4","7.9","7.4","7","6.7","6.4","6.2","6","5.9","5.7","5.7","5.8","5.9","6","6.1","6","5.7","5.4","4.9","4.4","3.8","3.4","3","2.7","2.5","2.4","",
"Africa Western and Central","AFW","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.8571205229037","25.2715450652665","24.7779008107529","24.3044330390876","23.856661991063","23.3232425658616","22.8212523906303","22.4439656019875","21.8963031268244","21.3275605253135","20.7278634209965","20.1338697019115","19.5968681866497","19.0633948682794","18.4853342685889","17.9823418320968","17.459239413701","16.9911354897482","16.4865996507297","16.0386123749899","15.6026973116648","15.2143202305829","14.8088727108156","14.4502603622081","14.162831606177","13.7421479667699","13.3810846957674","13.0426752329178","12.7070416562928","12.3655525785424","",
"Angola","AGO","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.7","33.7","33.7","37.4","33.7","33.6","33.3","32.9","32.3","31.6","30.7","29.7","28.6","27.4","26","24.5","23","21.5","20","18.6","17.3","16.1","15","14","13.1","12.4","11.8","11.2","10.8","10.3","",
"Albania","ALB","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7","3.5","3.3","3.1","2.9","2.7","2.6","2.5","2.3","2.2","2.2","2.1","2","1.9","1.9","1.8","1.7","1.6","1.6","1.5","1.4","1.4","1.3","1.3","1.2","1.1","1.1","1","1","0.9","",
"Andorra","AND","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","1.4","1.3","1.2","1.2","1.1","1.1","1","1","0.9","0.9","0.8","0.8","0.8","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.4","0.4","",
"Arab World","ARB","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.88509123958701","8.05675316077661","7.25767450027301","6.95446520724417","6.72381089276347","6.46634653018965","6.20728896261788","6.05506029475392","5.84185015101613","5.63797920797624","5.46137452137624","5.27861806117419","5.14420150422825","5.51611934550637","5.27782185001083","5.24529365079578","5.46313111378576","5.23279566439587","4.72458096245552","4.49001430027583","4.34035050681402","4.30971292973344","4.69038034998417","4.83493642689613","5.02812773546473","4.69175942555605","4.51844840122766","4.13559799987123","3.74095690021061","3.50201093236739","",
"United Arab Emirates","ARE","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7","1.6","1.6","1.5","1.5","1.4","1.4","1.3","1.3","1.3","1.3","1.2","1.2","1.2","1.2","1.1","1.1","1.1","1.1","1","1","1","1","1","1","1","0.9","0.9","0.9","0.9","",
"Argentina","ARG","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","1.6","1.6","1.5","1.5","1.4","1.4","1.4","1.4","1.3","1.3","1.3","1.2","1.2","1.2","1.2","1.3","1.3","1.2","1.2","1.1","1.1","1","1","1","1","0.9","0.9","0.8","0.8","",
